unique_id,filename,drive_path,drive_url,estimated_date,date_confidence,era,family_grouping,people_visible,event,theme,technical_score,emotional_score,story_score,uniqueness_score,hero_score,candidate_status,notes
P373,IMG_4595.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1u0ASHsU0_J5LI3sFZXU_T_SrUQ8dxNpZ/view?usp=drivesdk,2025-12-24,HIGH,2023-2026 TODAY,Individual daughter,"Close-up of one daughter in red plaid pajamas with her mouth wide open in surprise, an adult in a Christmas sweater seated beside her at the edge of frame",Reacting to a gift on Christmas Eve — caught mid-gasp,Holidays; Home; Humor; Everyday life,6,9,7,8,8,STRONG_CANDIDATE,"Pure unguarded reaction shot: eyes wide, mouth open, caught the exact instant. Indoor light is warm and slightly soft but the expression carries it."
P313,IMG_7231.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1w7bYV8TpmzJw8IIzdPQVaAfehEZWV7vl/view?usp=drivesdk,2024-12-07,HIGH,2023-2026 TODAY,Mother + daughters,"The mother in a knit beanie reading MAMA, cheek to cheek in a selfie with the youngest daughter in a pale pink pom-pom hat","Cold-weather selfie of mother and youngest daughter, both bundled in coats and hats",Motherhood; Parenthood; Everyday life; Growing together,7,9,7,7,8,STRONG_CANDIDATE,"Both faces fill the frame in real winter light, the little girl grinning wide-eyed under a pom hat. The MAMA beanie does a lot of narrative work for free."
P329,IMG_8659.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1bjJPden-uiDH4VG_VCOTltwvSH357A4P/view?usp=drivesdk,2025-04-18,HIGH,2023-2026 TODAY,Mother + daughters,"The mother in a cap reading MOM of GIRLS, cheek to cheek in a selfie with a beaming daughter wearing a rainbow candy-bead necklace","Outdoor selfie of mother and daughter, the girl grinning with a candy necklace on",Motherhood; Parenthood; Everyday life; Humor,7,9,7,7,8,STRONG_CANDIDATE,"Enormous open-mouthed grin from the daughter against her mother's cheek, and the cap literally spells out the household. Bright natural light, tight crop."
P112,IMG_1109.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1SZV_sj9wVQGJoK2pc--owwjyT_hSwcWe/view?usp=drivesdk,2015-01-11,HIGH,2013-2016 FAMILY GROWING,Family of three,"father, mother, toddler daughter","At home, couch",Everyday life; Fatherhood; Humor,6,8,8,8,7,STRONG_CANDIDATE,"Toddler face fills frame, dad grinning underneath, mom leaning in. Unposed and alive - exactly the everyday register the film needs."
P120,IMG_1884.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/186efZHr3lPxbMLhQxOYe4Jco7-Lo_IWF/view?usp=drivesdk,2016-08-06,HIGH,2016-2020 FAMILY OF FIVE,Family of three,"father, mother, young daughter",Formal event at home before going out,Humor; Chaos; Everyday life,5,7,9,9,6,STRONG_CANDIDATE,"Parents dressed formally, small daughter photobombing at knee height. Funny and true - a strong Chapter 5 candidate."
P229,IMG_0023.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1IHgMVO6Z2FdgCQ-uRUQ_srN9WC6cWaCh/view?usp=drivesdk,2020-09-06,HIGH,2020-2023 THE CHAOS YEARS,Family of four,"Masked mother with a small daughter and masked father with another daughter, seated on the front steps of a house with an infant car-seat carrier between them","Parents and daughters on the front steps with a newborn carrier, everyone in masks",Becoming parents; Family growth; Home; Milestones,5,7,9,8,7,STRONG_CANDIDATE,"Two weeks after the visible pregnancy, a car-seat carrier sits on the steps between the parents; the baby's face is not visible in the frame. The masks date it precisely to the pandemic hospital era."
P061,808239217.875130.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1XdarfWl2OfThUQtebtRedUb-yAj14kCc/view?usp=drivesdk,2004-2007,MEDIUM,2003-2006 BEFORE WE WERE MARRIED,Couple,The mother wearing a 'Happy Birthday' tiara sitting on the father's lap,"Her birthday celebration on a deck at night, he in a striped dress shirt, she in a bright print tube top",Young love; Milestones; Everyday life,4,8,8,7,8,HERO_COUPLE,"COUPLE ALONE at one of her birthdays during the dating years - the tiara makes the occasion unambiguous. Night flash, heavy red cast on his face."
P076,808239065.600323.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1K0dHviTpkHSENfuFzdF_Bt71dslpqgqU/view?usp=drivesdk,2007-05-11,HIGH,2006-2010 WEDDING / EARLY MARRIAGE,Couple,young couple,"Outdoors beside a car, drink in hand",Young love; Friendship; Everyday life,6,8,8,7,7,STRONG_CANDIDATE,"Leaning together by a car, both laughing. Date stamp makes this one of the few precisely dated early photos."
P353,IMG_2386.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/170T5MDK6uLryGfIB_JhHxwuQ9HSLdkTt/view?usp=drivesdk,2025-07-16,HIGH,2023-2026 TODAY,Individual daughter,"Black-and-white close-up of one daughter's face in profile-ish three-quarter view, hair wet and braided, looking off past the camera","UNKNOWN — a quiet unposed portrait, apparently outdoors near water",Growing older; Everyday life,8,8,6,8,8,STRONG_CANDIDATE,"The only true portrait in this batch: tight black-and-white frame of one of the middle-aged-child faces, pensive and unaware of the lens. Holds a screen easily."
P044,808238032.933769.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1EvAXCYo5yk6G6PTGwuVPxnkNhccZElun/view?usp=drivesdk,2003-2006,LOW,2003-2006 BEFORE WE WERE MARRIED,Couple,The couple standing arm in arm in front of a yellow-sided house with a concrete stoop; a third person is cut off at the right edge,"Posed in front of a house - possibly their first place or a family home - he in an 'RLX' sweatshirt, she in a blue top and white zip jacket",Home; The life we built; Growing together,6,7,8,7,8,HERO_COUPLE,The couple alone in front of a house they clearly wanted photographed - the strongest 'home' candidate in these four sheets. I cannot confirm from the image whether it is their own first house.
P240,IMG_0401.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1JY3lQg-5Y23xm3vY_kxuVLg6fkCqzOWT/view?usp=drivesdk,2021,MEDIUM,2020-2023 THE CHAOS YEARS,Father + daughters,"Father laughing in the foreground with all three daughters behind him, the baby wide-mouthed with laughter at bottom","Arm's-length selfie on the couch at home, everyone laughing at once",Fatherhood; Sisterhood; Home; Humor; Family of five,5,9,7,6,8,STRONG_CANDIDATE,"Four open-mouthed laughs in one frame, the baby's the biggest of them. Soft, slightly washed-out phone image, but the feeling is completely unforced."
P036,808238064.551831.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1x-aee1UOntTt4NuCRnNdNhXiAt2c_523/view?usp=drivesdk,2002-2005,MEDIUM,2003-2006 BEFORE WE WERE MARRIED,Couple,"The couple lying together on a single bed, she in a blue top with her head on his chest, both looking at the camera",In a dorm or student bedroom - the wall and floor are papered with beer and NFL posters (a Bud Light poster and a New York Giants poster are legible),Young love; Everyday life; Growing together,5,7,8,8,7,STRONG_CANDIDATE,The most unmistakably 'college' frame in the batch - a narrow dorm bed and a wall of beer posters. Print scanned at an angle with a strong colour cast.
P195,IMG_1294.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1DvXWJhGymvzCkYdhD9uLI-24IdBErlyu/view?usp=drivesdk,2019-10-13,HIGH,2016-2020 FAMILY OF FIVE,Father + daughters,Father asleep on a sectional couch with a daughter asleep sprawled across his chest and legs,Both father and daughter passed out asleep on the living room couch,Fatherhood; Home; Everyday life; Growing together,5,8,7,8,7,STRONG_CANDIDATE,"Unposed and clearly taken by whoever walked in on it - the day after the wedding-reception frames. Ordinary living-room clutter and flat light, which is part of its honesty."
P337,IMG_1537.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1Aim5weCBGCz6Jt1rl1YVAiEGxLEzc6IX/view?usp=drivesdk,2025-05-11,HIGH,2023-2026 TODAY,Mother + daughters,"The mother reclining in a patio chair reading a handmade card, with a young daughter in a swimsuit beside her, mouth open mid-shout",Mother reading a card from her daughter on the back porch while the girl reacts,Motherhood; Home; Everyday life; Humor,5,8,7,8,7,STRONG_CANDIDATE,"Wholly unposed: the mother is actually reading the card while the daughter yells something at her from a foot away. Dim porch light and awkward framing, but the moment is real."
P132,IMG_0142.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1am280ouyhtuBzvqMEKMHyEwhvKpCLQ7i/view?usp=drivesdk,2017-09-10,HIGH,2016-2020 FAMILY OF FIVE,Father + daughters,"father, two daughters","At home, football gear",Fatherhood; Sports; Everyday life,6,8,7,7,7,CANDIDATE,Pile-on affection in Giants gear.
P133,IMG_0143.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1vzbBnLXstguvvStL8nks8Uco0_6xeoNw/view?usp=drivesdk,2017-09-10,HIGH,2016-2020 FAMILY OF FIVE,Family of four,"father, mother, two daughters",Game day selfie,Sports; Family of four; Everyday life,6,8,7,7,7,CANDIDATE,"All four in team jerseys, arms-length selfie. Warm and characteristic."
P194,IMG_1300.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1IN8-VZNyO4h-s3Hvz2FlrO0DUGq4gLER/view?usp=drivesdk,2019-10-12,HIGH,2016-2020 FAMILY OF FIVE,Father + daughters,The father in a suit holding a young daughter in a tutu who has slumped her head onto his shoulder; other guests and children are behind them,Late in an event reception under purple uplighting - the child is worn out and being carried,Fatherhood; Marriage; Everyday life,4,8,7,8,7,STRONG_CANDIDATE,"Heavily purple-cast and grainy from the dance-floor lighting, but the child's exhausted face on her father's shoulder is the strongest emotional read on this sheet. Do not discard for the color."
P249,IMG_2645.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1XcMf5XslJOREwqobHb1GKnw6BXqF7ydo/view?usp=drivesdk,2021-11-05,HIGH,2020-2023 THE CHAOS YEARS,Father + daughters,Father in a black 'Ken' T-shirt with three daughters in Barbie-print tops crowded around him in a kitchen,"A Barbie-themed party, apparently a birthday, at home",Fatherhood; Humor; Milestones; Home,6,8,7,7,7,STRONG_CANDIDATE,The dad wearing a 'Ken' shirt to his daughters' Barbie party is the whole joke and it lands; the toddler is pressed into the middle of the huddle. Kitchen clutter visible at the edges.
P357,IMG_9266.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/13m47K49R_eVcKPjnp6Eo9Fdhl0G5H988/view?usp=drivesdk,2025-10-04,HIGH,2023-2026 TODAY,Mother + daughters,"The mother and two daughters leaning in behind a lit birthday cake in a dark kitchen, faces lit from below by the candles","Birthday candles being lit before the song, in a darkened room",Milestones; Motherhood; Home; Holidays,6,8,7,7,7,STRONG_CANDIDATE,"Candlelight-only exposure with the three faces glowing over the cake; noisy and dim by design, and the warmth of it is the whole point."
P130,IMG_0117.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1Ph7MfGB3uYUQER7c_6Wblu4YOo11di_p/view?usp=drivesdk,2017-07-16,HIGH,2016-2020 FAMILY OF FIVE,Family of four,"father, mother, two daughters",Out walking with double stroller,Everyday life; Parenthood; Chaos,7,7,8,7,6,CANDIDATE,"Double stroller, coffee in hand. The logistics era, honestly shown."
P151,IMG_1562.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1ijrZ-j9U5E6eq54hnjxPzCZloCkhYnfd/view?usp=drivesdk,2018-2019,LOW,2016-2020 FAMILY OF FIVE,Father + daughters,"father in a beanie and a young girl in a red crocheted hat, both sticking their tongues out in a selfie","father-daughter clowning selfie, outdoors in winter clothing",Fatherhood; Humor; Everyday life,5,8,7,7,7,STRONG_CANDIDATE,Both of them pulling the same face at arm's length - the relationship is the whole photo. Awkward selfie crop and blown-out background.
P154,IMG_1428.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1mjW6ayt5QA_drkSQsoNMpCZPB_3d3vsi/view?usp=drivesdk,2018,MEDIUM,2016-2020 FAMILY OF FIVE,Extended family,"father with a girl on his shoulders, a woman in an elf costume, a man dressed as Santa, and a woman holding a small child",an in-home Santa visit - Santa and an elf posing with the family by the fireplace and tree,Holidays; Parenthood; Home; Humor,5,7,8,8,6,STRONG_CANDIDATE,"A hired Santa and elf standing in the living room with the family - an unusual, very datable holiday ritual. Busy, dim room and a bit of a lineup composition."
P250,IMG_2848.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1Lhhv-TsF16NFT0tvDWJfjGEQ7IuNP-6s/view?usp=drivesdk,2021-12-01,HIGH,2020-2023 THE CHAOS YEARS,Individual daughter,"The youngest daughter alone, a toddler on a grey couch in a 'Juicy' top, holding a lemon",Close portrait of the toddler at home,Parenthood; Everyday life; Growing older,8,8,6,6,8,STRONG_CANDIDATE,"Direct, unblinking eye contact with soft window light and a clean shallow-depth background. The strongest single-child portrait on these sheets."
P385,IMG_5893.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/16JwqfSlHpElZ7GZRNqHymt7sDnB7dM_S/view?usp=drivesdk,2026-04-26,HIGH,2023-2026 TODAY,Individual daughter,"One daughter lying spread-eagle on the grass holding a lacrosse stick, above the letters A E C spelled out on the field in lacrosse balls","Goofing on the field after practice, having spelled out initials with the ball bucket",Sports; Humor; Everyday life,7,7,6,9,7,STRONG_CANDIDATE,Overhead composition with the balls spelling initials and the girl flopped starfish-style above them; the most inventive single frame in the sports run.
P356,IMG_4965.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1BMypF81g0Ur4cRQj8zSGXufaQDf05Y5h/view?usp=drivesdk,2025-09-04,HIGH,2023-2026 TODAY,Family of five,"The whole family seated along a table under a gold number-5 balloon and HAPPY B-DAY letters: mother, father and the three daughters, with a small cake in front of the birthday girl",The youngest daughter's fifth birthday at home,Milestones; Family of five; Holidays; Home; Parenthood,6,7,8,6,7,STRONG_CANDIDATE,"Dated birthday marker for the youngest — the gold '5' pins her age, which anchors the family timeline. Everyone in one frame at the same table."
P383,IMG_5790.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1a3YzjqGi7xnk6kbgcn8aEP-DAsrM4ZpB/view?usp=drivesdk,2026-04-18,HIGH,2023-2026 TODAY,Sisters,"Two daughters photographed from behind in teal pinnies with the family surname and numbers 4 and 5 on their backs, standing in a backyard in front of a portable goal","Backyard lacrosse practice, the two sisters facing the net together",Sports; Sisterhood; Home; Everyday life,7,7,7,7,7,STRONG_CANDIDATE,"Same surname, different numbers, shot from behind — reads as two sisters on the same team without needing faces. Quiet and specific."
P057,808239196.086460.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1v0iot5z2fYcXflQAJGJFR-lvfXrXi-yj/view?usp=drivesdk,2003-2006,MEDIUM,2003-2006 BEFORE WE WERE MARRIED,Couple,The father in a white tank and the mother in a pale tank top,Sprawled together laughing in the back seat of a car,Young love; Humor; Everyday life,3,8,7,7,7,HERO_COUPLE,"COUPLE ALONE, completely unposed and laughing in a car back seat - very high emotional value. Faded, colour-shifted print with a blown-out flash."
P103,808239670.703753.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,https://drive.google.com/file/d/1nTphHmbelSpFESRQYSBFDVsv96Wo_hTW/view?usp=drivesdk,2010-2013,LOW,2010-2013 EARLY FAMILY,Individual parent,"The father alone, crouched and working, shirtless in the sun","Sanding or refinishing cabinets and drawer boxes outdoors in a driveway, a visible cloud of dust, a bicycle leaning behind him",Home; The life we built; Everyday life,4,6,8,8,7,STRONG_CANDIDATE,"Almost certainly a first-home renovation - the dust cloud caught mid-air makes it visually striking. Badly framed with him small and off-centre, but the story value is high."
P316,IMG_7265.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/179Ey9FpTMLCtNF_zM2K2AAvn6TCXZEzX/view?usp=drivesdk,2024-12-08,HIGH,2023-2026 TODAY,Other,"The mother in a Santa hat and a young daughter in white dragging a cut fir tree toward camera, the father at right holding the saw aloft, and one more person behind them",Cutting down a Christmas tree at a tree farm and hauling it out of the rows,Holidays; Adventure; Everyday life; Humor,6,7,7,7,7,STRONG_CANDIDATE,"Mid-action frame: the tree is down and being dragged, the father is brandishing the saw like a trophy. A fourth figure behind the tree is too obscured to identify."
