unique_id,filename,drive_path,drive_url,estimated_date,date_confidence,era,family_grouping,people_visible,event,theme,technical_score,emotional_score,story_score,uniqueness_score,hero_score,candidate_status,notes
P387,IMG_5913.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1-tUHEH-JtXnWaUfqwxEbwUflNCn4QqHu/view?usp=drivesdk,2026-04-27,HIGH,2023-2026 TODAY,Sisters,"All three daughters, in matching black lacrosse pinnies numbered 5, 11 and 4 with the family surname across the back, looking back over their shoulders","The three sisters standing together at the edge of a large open grass lacrosse field, turned to look back at the camera",Sisterhood; Sports; Growing older; Growing together,7,8,8,9,9,HERO,"Black-and-white frame of the three sisters in identical family-name jerseys, tallest to smallest, glancing back across a huge empty field. It reads as one image of the whole sibling set and of the sport that runs through this stretch of the archive."
P273,IMG_0198.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1PgKdhjeWR4sFsxvt5cWua_ESEsnBV4ol/view?usp=drivesdk,2022-08-31,HIGH,2020-2023 THE CHAOS YEARS,Father + daughters,"Father in sunglasses in a low-angle selfie with all three daughters piled around him; the youngest drinking from a cup, one girl in a 'Best Sister' shirt","Sitting outside together, the girls crowding into a selfie",Fatherhood; Sisterhood; Humor; Everyday life,6,9,8,8,8,HERO,"Four faces stacked at different depths and none of them arranged — the toddler drinks straight through the photo and the eldest leans in laughing. Messy, warm and unrepeatable."
P126,IMG_0009.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1GccCm4zCgyCm8Qy7PcpGANULKVs_vGKo/view?usp=drivesdk,2016-11-14,HIGH,2016-2020 FAMILY OF FIVE,Father + daughters,"father, older daughter, newborn",At home on the couch,Fatherhood; Sisterhood; Everyday life; Humor,5,8,9,9,7,STRONG_CANDIDATE,Dad holds the newborn while the big sister holds her doll in the same pose. Accidental and lovely.
P186,IMG_1158.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1QfejWFDgAArU81sZkaiweFcIqDQ99DFl/view?usp=drivesdk,2019-09-05,HIGH,2016-2020 FAMILY OF FIVE,Sisters,"The two daughters standing arm in arm on a wet driveway in first-day outfits, one holding a name card","First day of school, the sisters hugging before leaving",School; Sisterhood; Milestones; Growing older,7,8,9,7,8,HERO,"Black and white on a rain-dark driveway, older sister's arm around the younger one - a clean marker of a school-year transition. Part of a four-photo first-day sequence taken that morning."
P119,IMG_2086.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1vaM9Oieu38rRaIAa--U5gjQ3ISNJoZ1u/view?usp=drivesdk,2016-2020,LOW,UNKNOWN,Mother + daughters,visibly pregnant mother in a swimsuit sitting on a boat bench with a small child in a life jacket beside her,"on a pontoon boat on a lake during pregnancy, a toddler in a life vest tucked against her",Becoming parents; Family growth; Motherhood; Vacations,4,8,9,9,7,STRONG_CANDIDATE,"A rare pregnancy frame - bare bump, life jacket, lake water behind - documenting a family about to grow again. Soft, slightly blown-out phone capture, but almost nothing else in the archive shows a pregnancy."
P302,IMG_3842.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1pivjc5-CZ65OATk336I4voiI2zFvsCmc/view?usp=drivesdk,2023-08-03,HIGH,2023-2026 TODAY,Sisters,"The three daughters kneeling and lying in a pile on white sand at dusk, in swimsuits, laughing toward the camera",The three sisters playing in the sand at last light with the resort and palms behind them,Sisterhood; Vacations; Family of five,8,8,7,8,9,HERO,"Wide, quiet dusk frame: three sisters tangled together on empty sand under a pastel sky and palm silhouettes. Composition and light both hold up for a long screen hold."
P131,IMG_0131.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/19gIGtd8nSJf_723ldu-pA0dTNDSgechm/view?usp=drivesdk,2017-08-27,HIGH,2016-2020 FAMILY OF FIVE,Father + daughter,"father, daughter",Backyard,Fatherhood; Humor; Everyday life,6,8,8,9,7,STRONG_CANDIDATE,"Dad sprawled in a lawn chair, daughter in a tiny chair copying his exact pose. Genuinely funny - Chapter 5."
P230,IMG_0190.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1Rf0ZNuybD_PCqYnK7A_tdCjfvhZcZjY-/view?usp=drivesdk,2020-10-31,HIGH,2020-2023 THE CHAOS YEARS,Mother + daughters,Mother lying on the floor with an infant in a 'Milk Monster' onesie on her chest and two older daughters in Halloween costumes stretched out on either side,Halloween on the living room floor with the new baby,Holidays; Motherhood; Family growth; Family of five,6,8,8,8,8,HERO,"Shot from directly overhead with all four laid out in a row on the rug — the newborn's first Halloween, in costume, with her sisters. The bird's-eye framing is unlike anything else in the batch."
P322,IMG_0143.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1DBWEa1brhwJT15beUGd3GgFQ-nDz-84q/view?usp=drivesdk,2025-01-11,HIGH,2023-2026 TODAY,Father + daughters,"The father and the youngest daughter side by side, both sticking their tongues out and crossing their eyes for the camera, in a busy shop or ice-cream counter",Silly face-pulling selfie with a striped drink cup on the counter beside them,Humor; Fatherhood; Everyday life; Growing together,6,9,7,8,8,STRONG_CANDIDATE,"Father and daughter pulling identical goofy faces, tongues out — the mirroring is the whole point and it lands. Busy background, but the two of them dominate."
P373,IMG_4595.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1u0ASHsU0_J5LI3sFZXU_T_SrUQ8dxNpZ/view?usp=drivesdk,2025-12-24,HIGH,2023-2026 TODAY,Individual daughter,"Close-up of one daughter in red plaid pajamas with her mouth wide open in surprise, an adult in a Christmas sweater seated beside her at the edge of frame",Reacting to a gift on Christmas Eve — caught mid-gasp,Holidays; Home; Humor; Everyday life,6,9,7,8,8,STRONG_CANDIDATE,"Pure unguarded reaction shot: eyes wide, mouth open, caught the exact instant. Indoor light is warm and slightly soft but the expression carries it."
P313,IMG_7231.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1w7bYV8TpmzJw8IIzdPQVaAfehEZWV7vl/view?usp=drivesdk,2024-12-07,HIGH,2023-2026 TODAY,Mother + daughters,"The mother in a knit beanie reading MAMA, cheek to cheek in a selfie with the youngest daughter in a pale pink pom-pom hat","Cold-weather selfie of mother and youngest daughter, both bundled in coats and hats",Motherhood; Parenthood; Everyday life; Growing together,7,9,7,7,8,STRONG_CANDIDATE,"Both faces fill the frame in real winter light, the little girl grinning wide-eyed under a pom hat. The MAMA beanie does a lot of narrative work for free."
P329,IMG_8659.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1bjJPden-uiDH4VG_VCOTltwvSH357A4P/view?usp=drivesdk,2025-04-18,HIGH,2023-2026 TODAY,Mother + daughters,"The mother in a cap reading MOM of GIRLS, cheek to cheek in a selfie with a beaming daughter wearing a rainbow candy-bead necklace","Outdoor selfie of mother and daughter, the girl grinning with a candy necklace on",Motherhood; Parenthood; Everyday life; Humor,7,9,7,7,8,STRONG_CANDIDATE,"Enormous open-mouthed grin from the daughter against her mother's cheek, and the cap literally spells out the household. Bright natural light, tight crop."
P333,IMG_3837.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1o0qlMBWGCoJ_C8IuP1otYGSbWwjCrUZl/view?usp=drivesdk,2025-05-03,HIGH,2023-2026 TODAY,Family of five,"The mother, the father in a tan suit and sunglasses, and the three daughters on the steps of a brick church, the middle-sized girl in a long white dress",Family portrait on the church steps after what appears to be a First Communion or similar church milestone for one daughter,Milestones; Family of five; Parenthood; Growing older,7,7,9,7,8,STRONG_CANDIDATE,"All five dressed up on the church steps with one daughter in the white ceremonial dress — the clearest milestone frame of the batch. Posed and squinting into sun, but unambiguous."
P120,IMG_1884.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/186efZHr3lPxbMLhQxOYe4Jco7-Lo_IWF/view?usp=drivesdk,2016-08-06,HIGH,2016-2020 FAMILY OF FIVE,Family of three,"father, mother, young daughter",Formal event at home before going out,Humor; Chaos; Everyday life,5,7,9,9,6,STRONG_CANDIDATE,"Parents dressed formally, small daughter photobombing at knee height. Funny and true - a strong Chapter 5 candidate."
P229,IMG_0023.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1IHgMVO6Z2FdgCQ-uRUQ_srN9WC6cWaCh/view?usp=drivesdk,2020-09-06,HIGH,2020-2023 THE CHAOS YEARS,Family of four,"Masked mother with a small daughter and masked father with another daughter, seated on the front steps of a house with an infant car-seat carrier between them","Parents and daughters on the front steps with a newborn carrier, everyone in masks",Becoming parents; Family growth; Home; Milestones,5,7,9,8,7,STRONG_CANDIDATE,"Two weeks after the visible pregnancy, a car-seat carrier sits on the steps between the parents; the baby's face is not visible in the frame. The masks date it precisely to the pandemic hospital era."
P353,IMG_2386.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/170T5MDK6uLryGfIB_JhHxwuQ9HSLdkTt/view?usp=drivesdk,2025-07-16,HIGH,2023-2026 TODAY,Individual daughter,"Black-and-white close-up of one daughter's face in profile-ish three-quarter view, hair wet and braided, looking off past the camera","UNKNOWN — a quiet unposed portrait, apparently outdoors near water",Growing older; Everyday life,8,8,6,8,8,STRONG_CANDIDATE,"The only true portrait in this batch: tight black-and-white frame of one of the middle-aged-child faces, pensive and unaware of the lens. Holds a screen easily."
P236,IMG_1260.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1-oL5x6od4Rhfaka32iWvF_s9xlEE0gfU/view?usp=drivesdk,2021,MEDIUM,2020-2023 THE CHAOS YEARS,Extended family,"An older woman in a black hat at left, a small daughter in a pink mask, an older daughter in a hooded coat, the father taking the selfie in a striped mask, and the mother in a green mask and white beanie","Family outing to the Rockefeller Center Christmas tree in New York, everyone in winter coats and face masks",Holidays; Adventure; Growing together; Chaos,6,7,8,8,7,STRONG_CANDIDATE,"The lit Rockefeller tree fills the background while five masked faces crowd the lens. An older woman, most likely a grandmother, is with them; the youngest daughter is not in this frame."
P240,IMG_0401.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1JY3lQg-5Y23xm3vY_kxuVLg6fkCqzOWT/view?usp=drivesdk,2021,MEDIUM,2020-2023 THE CHAOS YEARS,Father + daughters,"Father laughing in the foreground with all three daughters behind him, the baby wide-mouthed with laughter at bottom","Arm's-length selfie on the couch at home, everyone laughing at once",Fatherhood; Sisterhood; Home; Humor; Family of five,5,9,7,6,8,STRONG_CANDIDATE,"Four open-mouthed laughs in one frame, the baby's the biggest of them. Soft, slightly washed-out phone image, but the feeling is completely unforced."
P242,IMG_1844.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1UiFXv7awlJeayQlaVcLLBwgLP2Pm22Dg/view?usp=drivesdk,2021-2022,LOW,2020-2023 THE CHAOS YEARS,Sisters,an older girl standing on grass holding a toddler in pink pyjamas against her chest,big sister carrying her little sister outside among fallen leaves,Sisterhood; Family growth; Growing together,5,8,8,7,7,STRONG_CANDIDATE,"The little one has gone limp with her head on her sister's shoulder while the older girl braces to hold her up. Soft focus and a cluttered background, but the tenderness is unmistakable."
P195,IMG_1294.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1DvXWJhGymvzCkYdhD9uLI-24IdBErlyu/view?usp=drivesdk,2019-10-13,HIGH,2016-2020 FAMILY OF FIVE,Father + daughters,Father asleep on a sectional couch with a daughter asleep sprawled across his chest and legs,Both father and daughter passed out asleep on the living room couch,Fatherhood; Home; Everyday life; Growing together,5,8,7,8,7,STRONG_CANDIDATE,"Unposed and clearly taken by whoever walked in on it - the day after the wedding-reception frames. Ordinary living-room clutter and flat light, which is part of its honesty."
P244,IMG_2070.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1kKvcQZOWd3SIyGE8E4gUmqDk9gBseUkU/view?usp=drivesdk,2021,MEDIUM,2020-2023 THE CHAOS YEARS,Father + daughters,father kneeling in a red polo between two daughters in patriotic outfits and hair bows,"Fourth of July - father crouched down with both girls, same day as the mother-and-daughters frame",Fatherhood; Holidays; Family growth,7,8,7,6,8,STRONG_CANDIDATE,"Father down at the girls' height with an arm around each, all three beaming in the sun - the strongest father-daughter frame in the batch. Sharp and well exposed."
P337,IMG_1537.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1Aim5weCBGCz6Jt1rl1YVAiEGxLEzc6IX/view?usp=drivesdk,2025-05-11,HIGH,2023-2026 TODAY,Mother + daughters,"The mother reclining in a patio chair reading a handmade card, with a young daughter in a swimsuit beside her, mouth open mid-shout",Mother reading a card from her daughter on the back porch while the girl reacts,Motherhood; Home; Everyday life; Humor,5,8,7,8,7,STRONG_CANDIDATE,"Wholly unposed: the mother is actually reading the card while the daughter yells something at her from a foot away. Dim porch light and awkward framing, but the moment is real."
P132,IMG_0142.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1am280ouyhtuBzvqMEKMHyEwhvKpCLQ7i/view?usp=drivesdk,2017-09-10,HIGH,2016-2020 FAMILY OF FIVE,Father + daughters,"father, two daughters","At home, football gear",Fatherhood; Sports; Everyday life,6,8,7,7,7,CANDIDATE,Pile-on affection in Giants gear.
P194,IMG_1300.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1IN8-VZNyO4h-s3Hvz2FlrO0DUGq4gLER/view?usp=drivesdk,2019-10-12,HIGH,2016-2020 FAMILY OF FIVE,Father + daughters,The father in a suit holding a young daughter in a tutu who has slumped her head onto his shoulder; other guests and children are behind them,Late in an event reception under purple uplighting - the child is worn out and being carried,Fatherhood; Marriage; Everyday life,4,8,7,8,7,STRONG_CANDIDATE,"Heavily purple-cast and grainy from the dance-floor lighting, but the child's exhausted face on her father's shoulder is the strongest emotional read on this sheet. Do not discard for the color."
P249,IMG_2645.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1XcMf5XslJOREwqobHb1GKnw6BXqF7ydo/view?usp=drivesdk,2021-11-05,HIGH,2020-2023 THE CHAOS YEARS,Father + daughters,Father in a black 'Ken' T-shirt with three daughters in Barbie-print tops crowded around him in a kitchen,"A Barbie-themed party, apparently a birthday, at home",Fatherhood; Humor; Milestones; Home,6,8,7,7,7,STRONG_CANDIDATE,The dad wearing a 'Ken' shirt to his daughters' Barbie party is the whole joke and it lands; the toddler is pressed into the middle of the huddle. Kitchen clutter visible at the edges.
P348,IMG_9313.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1rMiWkFO_94_OMAktTe_YVgUmI2Y90N-v/view?usp=drivesdk,2025-07-05,HIGH,2023-2026 TODAY,Sisters,"All three daughters standing barefoot on a lawn by the lake, each holding a large red heart-shaped award plaque; the oldest wears a novelty headband, and a boy is partly cut off at the left edge","Awards night at a lake camp or club; each girl holds the plaque she was given, one reading 'Best Sportsmanship'",Milestones; Sisterhood; Vacations; Friendship,6,7,8,7,7,STRONG_CANDIDATE,All three girls holding hand-painted awards with their names on them at the lake; the specificity of the plaques makes this a real milestone frame rather than a generic group pose.
P357,IMG_9266.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/13m47K49R_eVcKPjnp6Eo9Fdhl0G5H988/view?usp=drivesdk,2025-10-04,HIGH,2023-2026 TODAY,Mother + daughters,"The mother and two daughters leaning in behind a lit birthday cake in a dark kitchen, faces lit from below by the candles","Birthday candles being lit before the song, in a darkened room",Milestones; Motherhood; Home; Holidays,6,8,7,7,7,STRONG_CANDIDATE,"Candlelight-only exposure with the three faces glowing over the cake; noisy and dim by design, and the warmth of it is the whole point."
P145,IMG_0765.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1ooD1fx2szJwIaOA_OqwgQsUw39o6--VZ/view?usp=drivesdk,2018-05-26,HIGH,2016-2020 FAMILY OF FIVE,Father + daughters,"Father lying back in shallow pool water lifting the toddler daughter overhead; two other figures, one appearing to be the older daughter, are in the water behind them",Play in a shallow pool - the father launching the toddler into the air,Fatherhood; Vacations; Adventure; Humor,6,8,6,8,7,STRONG_CANDIDATE,Unusual overhead-into-water composition; the child is mid-air with legs kicking. The background figures are too small to identify with certainty.
P151,IMG_1562.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1ijrZ-j9U5E6eq54hnjxPzCZloCkhYnfd/view?usp=drivesdk,2018-2019,LOW,2016-2020 FAMILY OF FIVE,Father + daughters,"father in a beanie and a young girl in a red crocheted hat, both sticking their tongues out in a selfie","father-daughter clowning selfie, outdoors in winter clothing",Fatherhood; Humor; Everyday life,5,8,7,7,7,STRONG_CANDIDATE,Both of them pulling the same face at arm's length - the relationship is the whole photo. Awkward selfie crop and blown-out background.
P168,IMG_1236.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,https://drive.google.com/file/d/1CDJJ6E5hGlvRLlSlA8c7xXvCzFhxy9it/view?usp=drivesdk,2019,MEDIUM,2016-2020 FAMILY OF FIVE,Family of four,"Mother, father in a flat cap, and two young daughters in matching pyjamas at a party table; a shop worker in a red apron and other guests behind","Birthday party at a doughnut shop, one daughter balancing a doughnut on her head while the other reaches for the whipped cream",Holidays; Milestones; Humor; Family of four,5,8,7,7,7,STRONG_CANDIDATE,"A doughnut is balanced on one daughter's head and her mouth is wide open with glee while the other reaches into the cream. Balloon tablecloth, doughnut cake stacks, both parents laughing behind them."
