sequence,filename,Drive_path,chapter,year,people,duration_seconds,layout,hero,on_screen_text,voiceover,transition,notes
044,IMG_1109.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 3 - THEN EVERYTHING CHANGED,2015,Family of three,4.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CROSSFADE,
045,IMG_0109.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 3 - THEN EVERYTHING CHANGED,2015,Family of three,3.0,FULL_BLEED_LANDSCAPE,NO,,,CUT,
046,IMG_0053(1).JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 3 - THEN EVERYTHING CHANGED,2015,Family of three,5.0,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,CROSSFADE,
047,IMG_1841 (1).JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 3 - THEN EVERYTHING CHANGED,2015,Couple,3.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
048,IMG_1542.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 3 - THEN EVERYTHING CHANGED,2014,Couple,5.0,FULL_BLEED_LANDSCAPE,YES,,Life hasn't always gone exactly the way we thought it would.,SLOW_DISSOLVE,"date confidence LOW - placement is by era, not by a known day"
049,IMG_1884.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 3 - THEN EVERYTHING CHANGED,2016,Family of three,2.5,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
050,IMG_2116.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 3 - THEN EVERYTHING CHANGED,2016,Family of three,3.5,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
051,IMG_2086.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 3 - THEN EVERYTHING CHANGED,2016,Mother + daughters,5.0,FULL_BLEED_LANDSCAPE,YES,,,SLOW_DISSOLVE,"date confidence LOW - placement is by era, not by a known day"
052,(text card),—,CHAPTER 4 - THEN THERE WERE FIVE,—,—,4.0,TEXT_CARD_BLACK,NO,And then there were five.,,FADE_THROUGH_BLACK,"Full-screen card (CARD5). Centred, letterspaced, no photograph behind it."
053,IMG_0030.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2016,Family (parents + newborn),5.0,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,FADE_FROM_BLACK,top-tier hero score in the archive
054,IMG_0053(2).JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2016,Family of four,9.0,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,SLOW_DISSOLVE,top-tier hero score in the archive
055,IMG_0008.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2016,Family of four,4.5,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CROSSFADE,
056,IMG_0009.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2016,Father + daughters,4.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
057,IMG_0254.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2017,Family of four,3.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
058,IMG_0322.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2017,Family of four,3.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
059,IMG_1214.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2018,Family of three,3.5,FULL_BLEED_LANDSCAPE,NO,,,CROSSFADE,
060,IMG_1389.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2018,Family of four,3.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
061,IMG_0887.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2017,Couple,4.5,FULL_BLEED_SOFT_CROP,YES,,,CROSSFADE,"date confidence LOW - placement is by era, not by a known day"
062,IMG_1158.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2019,Sisters,5.0,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,SLOW_DISSOLVE,
063,IMG_1766.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2020,Extended family,7.0,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,SLOW_DISSOLVE,top-tier hero score in the archive
064,IMG_2186.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2020,Family of four,5.0,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,CROSSFADE,
065,IMG_0029.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2020,Family of three,7.0,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,SLOW_DISSOLVE,top-tier hero score in the archive
066,IMG_0023.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2020,Family of four,3.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
067,IMG_0190.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2020,Mother + daughters,5.5,FULL_BLEED_SOFT_CROP,YES,,,CROSSFADE,
068,IMG_0664.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2021,Family of five,3.5,FULL_BLEED_SOFT_CROP,NO,,,CUT,
069,IMG_0911.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 4 - THEN THERE WERE FIVE,2021,Family of five,6.0,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,SLOW_DISSOLVE,
070,(text card),—,CHAPTER 5 - THE CHAOS,—,—,3.5,TEXT_CARD_BLACK,NO,Life got loud.,,FADE_THROUGH_BLACK,"Full-screen card (CARD6). Centred, letterspaced, no photograph behind it."
071,IMG_0131.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 5 - THE CHAOS,2017,Father + daughter,2.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,"We've had crazy years, hard years, really good years, and a whole lot of years where we were just trying to keep up with everything.",HARD_CUT,
072,IMG_1562.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 5 - THE CHAOS,2018,Father + daughters,1.8,FULL_BLEED_LANDSCAPE,NO,,,HARD_CUT,"date confidence LOW - placement is by era, not by a known day"
073,IMG_1468.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 5 - THE CHAOS,2018,Individual daughter,2.2,FULL_BLEED_LANDSCAPE,NO,,,HARD_CUT,"date confidence LOW - placement is by era, not by a known day"
074,IMG_1236.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 5 - THE CHAOS,2019,Family of four,1.8,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,HARD_CUT,
075,IMG_1933.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 5 - THE CHAOS,2020,Father + daughters,2.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,HARD_CUT,
076,IMG_2012.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 5 - THE CHAOS,2020,Father + daughters,2.0,FULL_BLEED_LANDSCAPE,NO,,,HARD_CUT,
077,IMG_0401.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 5 - THE CHAOS,2021,Father + daughters,2.0,FULL_BLEED_LANDSCAPE,NO,,,HARD_CUT,
078,IMG_0198.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 5 - THE CHAOS,2022,Father + daughters,2.2,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,HARD_CUT,
079,IMG_5560.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 5 - THE CHAOS,2022,Father + daughters,2.5,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,HARD_CUT,top-tier hero score in the archive
080,IMG_2645.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 5 - THE CHAOS,2021,Father + daughters,1.8,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,HARD_CUT,
081,IMG_0143.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 5 - THE CHAOS,2025,Father + daughters,2.0,FULL_BLEED_LANDSCAPE,NO,,,HARD_CUT,
082,IMG_9386.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 5 - THE CHAOS,2025,Other,4.0,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,HARD_CUT,top-tier hero score in the archive
083,IMG_4595.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 5 - THE CHAOS,2025,Individual daughter,2.2,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,HARD_CUT,
084,IMG_7635.jpg,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 5 - THE CHAOS,2026,Sisters,2.5,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,HARD_CUT,
085,(text card),—,CHAPTER 6 - THE LIFE WE BUILT,—,—,4.5,TEXT_CARD_BLACK,NO,We built a whole life.,,FADE_THROUGH_BLACK,"Full-screen card (CARD7). Centred, letterspaced, no photograph behind it."
086,IMG_1260.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2021,Extended family,3.5,FULL_BLEED_LANDSCAPE,NO,,"But when I look at all of these pictures, I wouldn't change any of it. Because all of it led us here.",FADE_FROM_BLACK,
087,IMG_1844.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2021,Sisters,4.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CROSSFADE,"date confidence LOW - placement is by era, not by a known day"
088,IMG_1290.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2022,Family of five,6.0,FULL_BLEED_LANDSCAPE,YES,,,SLOW_DISSOLVE,top-tier hero score in the archive
089,IMG_1156.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2022,Sisters,3.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
090,IMG_9554.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2023,Father + daughters,6.0,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,SLOW_DISSOLVE,top-tier hero score in the archive
091,IMG_0142.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2023,Father + daughters,7.0,FULL_BLEED_LANDSCAPE,YES,,,SLOW_DISSOLVE,top-tier hero score in the archive
092,IMG_3842.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2023,Sisters,5.5,FULL_BLEED_LANDSCAPE,YES,,,CROSSFADE,top-tier hero score in the archive
093,IMG_3837.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2025,Family of five,4.5,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CROSSFADE,
094,IMG_1537.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2025,Mother + daughters,3.5,FULL_BLEED_SOFT_CROP,NO,,,CUT,
095,IMG_9275.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2025,Father + daughters,3.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
096,IMG_9313.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2025,Sisters,3.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
097,IMG_4965.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2025,Family of five,3.5,FULL_BLEED_LANDSCAPE,NO,,,CUT,
098,IMG_5783.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2025,Family of five,3.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
099,808237311.073606.jpg,15 YEARS OF US/02 - OLD PHOTOS 2003-2013,CHAPTER 6 - THE LIFE WE BUILT,2000,Couple,1.5,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,MATCH_CUT,"REPRISE of sequence 001 - same file used twice, intentionally"
100,IMG_6777.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2024,Individual daughter,3.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,MATCH_CUT,technical quality USABLE (blown)
101,IMG_2507.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2026,Individual daughter,2.5,FULL_BLEED_LANDSCAPE,NO,,,CUT,
102,IMG_3628.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2025,Sisters,3.5,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
103,IMG_5909.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2026,Sisters,5.5,FULL_BLEED_SOFT_CROP,YES,,To this family. To these three amazing girls. To the life we built together.,CROSSFADE,top-tier hero score in the archive
104,IMG_5913.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2026,Sisters,6.0,VERTICAL_CENTERED_ON_BLURRED_FILL,YES,,,SLOW_DISSOLVE,top-tier hero score in the archive
105,IMG_2738.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2026,Sisters,3.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
106,IMG_7776.jpg,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 6 - THE LIFE WE BUILT,2026,Family of five,4.5,FULL_BLEED_LANDSCAPE,NO,,,SLOW_DISSOLVE,
107,(text card),—,CHAPTER 7 - STILL US,—,—,5.0,TEXT_CARD_BLACK,NO,A lot has changed.,,FADE_THROUGH_BLACK,"Full-screen card (CARD8). Centred, letterspaced, no photograph behind it."
108,IMG_8817.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 7 - STILL US,2025,Mother + daughters,4.0,FULL_BLEED_LANDSCAPE,NO,,,FADE_FROM_BLACK,
109,IMG_7231.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 7 - STILL US,2024,Mother + daughters,4.5,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CROSSFADE,
110,IMG_3653.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 7 - STILL US,2023,Individual parent,6.5,FULL_BLEED_LANDSCAPE,YES,,,SLOW_DISSOLVE,
111,image000000.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 7 - STILL US,2021,Couple,3.0,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,"date confidence LOW - placement is by era, not by a known day"
112,IMG_9006.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 7 - STILL US,2025,Couple,3.5,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CUT,
113,IMG_1705.JPG,15 YEARS OF US/01- DIGITAL PHOTOS 2013-2026,CHAPTER 7 - STILL US,2019,Couple,4.5,VERTICAL_CENTERED_ON_BLURRED_FILL,NO,,,CROSSFADE,
